"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"The Machinist FRENCH HDLight 1080p 2004";"140";"45";"2.3GB";"24/01/2020";"Films";"Policier,Thriller";"Trevor Reznik est ouvrier dans une usine. Un métier répétitif, fatiguant, usant, au milieu d'un bruit assourdissant, où la moindre inattention peut avoir des conséquences dramatiques. Une attention que Trevor a du mal à maintenir, car il est très fatigué. En fait, Trevor n'a pas dormi depuis un an.Il partage ses nuits entre la cafétéria de l'aéroport, où il retrouve Marie, la serveuse, et l'appartement de la prostituée Stevie.Depuis quelque temps, la vie de Trevor devient de plus en plus étrange. Qui laisse des messages codés dans son appartement ? Pourquoi Marie ressemble-t-elle tant à sa mère ? Quant à Stevie, elle semble bien connaître le nouvel employé de l'usine, Ivan. Pourquoi ne lui a-t-elle rien dit ? Un homme d'ailleurs très étrange, cet Ivan. Inquiétant, dérangeant, il semble surveiller sans cesse Trevor..."
"Joker TRUEFRENCH DVDRIP 2019";"867";"193";"1.37GB";"24/01/2020";"Films";"Drame";"Le film, qui relate une histoire originale inédite sur grand écran, se focalise sur la figure emblématique de l’ennemi juré de Batman. Il brosse le portrait d’Arthur Fleck, un homme sans concession méprisé par la société. "
"Mode avion FRENCH WEBRIP 2020";"497";"113";"694.79MB";"24/01/2020";"Films";"Comédie";"Quand l'influenceuse Ana plante sa voiture en étant au téléphone, elle est envoyée à la ferme de son grand-père grognon et y subit malgré elle une désintox numérique."
"Largo Winch II TRUEFRENCH HDLight 1080p 2011";"385";"117";"2.36GB";"24/01/2020";"Films";"Action,Aventure";"Propulsé à la tête du groupe W après le décès de son père adoptif, Largo Winch décide, à la surprise générale, de le mettre en vente afin de créer une ambitieuse fondation humanitaire. Mais le jour de la signature, il se retrouve accusé de crimes contre l'humanité par un mystérieux témoin. Pour prouver son innocence, Largo devra retourner sur les traces de sa vie passée, au cœur de la jungle birmane."
"Largo Winch TRUEFRENCH HDLight 1080p 2008";"308";"83";"2.17GB";"24/01/2020";"Films";"Action,Aventure";NA
"Largo Winch TRUEFRENCH DVDRIP 2008";"358";"90";"798.99MB";"24/01/2020";"Films";"Action,Aventure";"Le milliardaire Nerio Winch est retrouvé noyé. Une mort forcément suspecte quand on sait qu'il s'agit du fondateur et principal actionnaire du puissant et tentaculaire Groupe W.Qui va hériter de cet empire économique ? Officiellement Nerio n'avait pas de famille. Mais il cachait un secret : un fils, Largo, adopté presque trente ans plus tôt dans un orphelinat bosniaque. Seul problème, ce jeune héritier vient d'être jeté dans une prison du fin fond de l'Amazonie. Accusé de trafic de drogue, il clame son innocence.Nerio assassiné. Largo emprisonné. Et si ces deux affaires faisaient partie d'un seul et même complot visant à prendre le contrôle de l'empire Winch ?"
"Asher FRENCH DVDRIP 2019";"686";"182";"694.78MB";"24/01/2020";"Films";"Action,Aventure";"Ancien agent du Mossad, Asher est désormais mercenaire professionnel. Proche de prendre sa retraite, il rencontre Sophie, et va tenter avec elle de mener une vie normale avant qu'il ne soit trop tard. Pour cela, il va devoir se reconstruire une vie..."
"La Rançon FRENCH HDLight 1080p 1996";"205";"74";"3.13GB";"24/01/2020";"Films";"Policier,Thriller";"La vie de Tom Mullen, homme d'affaires puissant et sur de lui, pere heureux et epoux comble, va etre bouleversee quand son fils est enleve. Apres une pietre tentative du FBI pour le liberer, Tom Mullen annonce qu'il accepte de payer la rancon et decide de sauver son fils a sa maniere."
"Enfant 44 FRENCH HDLight 1080p 2015";"270";"65";"2.08GB";"24/01/2020";"Films";"Policier,Thriller";"Hiver 1952, Moscou. Leo Demidov est un brillant agent de la police secrète soviétique, promis à un grand avenir au sein du Parti. Lorsque le corps d’un enfant est retrouvé sur une voie ferrée, il est chargé de classer l’affaire. Il s’agit d’un accident, Staline ayant décrété que le crime ne pouvait exister dans le parfait Etat communiste. Mais peu à peu, le doute s’installe dans l’esprit de Léo et il découvre que d’autres enfants ont été victimes « d’accidents » similaires. Tombé en disgrâce, soupçonné de trahison, Léo est contraint à l'exil avec sa femme, Raïssa. Prenant tous les risques, Léo et Raïssa vont se lancer dans la traque de ce tueur en série invisible, qui fera d'eux des ennemis du peuple..."
"La Route TRUEFRENCH HDLight 1080p 2009";"168";"55";"2.35GB";"24/01/2020";"Films";"Sciencefiction";"Il y a maintenant plus de dix ans que le monde a explosé. Personne ne sait ce qui s'est passé. Ceux qui ont survécu se souviennent d'un gigantesque éclair aveuglant, et puis plus rien. Plus d'énergie, plus de végétation, plus de nourriture... Les derniers survivants rôdent dans un monde dévasté et couvert de cendre qui n'est plus que l'ombre de ce qu'il fut. C'est dans ce décor d'apocalypse qu'un père et son fils errent en poussant devant eux un caddie rempli d'objets hétéroclites - le peu qu'ils ont pu sauver et qu'ils doivent protéger. Ils sont sur leurs gardes, le danger guette. L'humanité est retournée à la barbarie. Alors qu'ils suivent une ancienne autoroute menant vers l'océan, le père se souvient de sa femme et le jeune garçon découvre les restes de ce qui fut la civilisation. Durant leur périple, ils vont faire desrencontres dangereuses et fascinantes. Même si le père n'a ni but ni espoir, il s'efforce de rester debout pour celui qui est désormais son seul univers."
"Rocketman TRUEFRENCH DVDRIP 2019";"321";"88";"1.37GB";"24/01/2020";"Films";"Biopic";NA
"The Farm FRENCH WEBRIP 2019";"249";"51";"698.85MB";"24/01/2020";"Films";"Epouvante-horreur";"Alors qu'il voyage à travers les Etats-Unis, un jeune couple est enlevé par un groupe ultraviolent qui s'est fait une spécialité du trafic de chair humaine."
"Stephen King's Doctor Sleep FRENCH DVDRIP 2020";"1418";"395";"1.38GB";"24/01/2020";"Films";"Policier,Thriller";"Encore profondément marqué par le traumatisme qu'il a vécu, enfant, à l'Overlook Hotel, Dan Torrance a dû se battre pour tenter de trouver un semblant de sérénité. Mais quand il rencontre Abra, courageuse adolescente aux dons extrasensoriels, ses vieux démons resurgissent. Car la jeune fille, consciente que Dan a les mêmes pouvoirs qu'elle, a besoin de son aide : elle cherche à lutter contre la redoutable Rose Claque et sa tribu du Nœud Vrai qui se nourrissent des dons d'innocents comme elle pour conquérir l'immortalité. Formant une alliance inattendue, Dan et Abra s'engagent dans un combat sans merci contre Rose. Face à l'innocence de la jeune fille et à sa manière d'accepter son don, Dan n'a d'autre choix que de mobiliser ses propres pouvoirs, même s'il doit affronter ses peurs et réveiller les fantômes du passé…"
"Summer Love FRENCH WEBRIP 2019";"147";"41";"695.9MB";"24/01/2020";"Films";"Drame";"Sur son lit de mort, la grand-mère de Jamie lui laisse deux informations : l'une sur un baptême, l'autre sur une fellation. Par la suite, Jamie va toujours tomber amoureuse de la mauvaise personne au mauvais moment."
"Le Parrain Trilogie FRENCH HDLight 1080p 1972-1991";"154";"131";"16.49GB";"24/01/2020";"Films";"Policier,Thriller";"Le Parrain (The Godfather) est un film américain réalisé par Francis Ford Coppola et produit par les studios Paramount, sorti le 15 mars 1972. Il s'agit d'une adaptation du livre de Mario Puzo. L'histoire s'étale de 1945 à 1955, et se centre sur l'ascension de Michael Corleone (Al Pacino), perçu comme ne pouvant prétendre à la succession d'une famille mafieuse impitoyable, la famille Corleone, dominé par son père, le patriarche Vito Corleone (Marlon Brando)."
"Cats TRUEFRENCH WEBRIP MD 2020";"300";"117";"1.57GB";"24/01/2020";"Films";"Comédiemusicale";NA
"Distorted FRENCH DVDRIP 2019";"584";"104";"696.6MB";"24/01/2020";"Films";"Policier,Thriller";"Bipolaire, une artiste se remet de la perte de son enfant. Assaillée de souvenirs et sujette à des phobies, elle est placée pour sa propre sécurité dans un appartement ultra-moderne à la technologie de pointe. Mais des choses étranges se passent et la jeune femme soupçonne la présence d'un fantôme."
"Playing With Fire TRUEFRENCH DVDRIP 2020";"924";"137";"700.24MB";"23/01/2020";"Films";"Comédie";"A la suite d'un feu en forêt, des pompiers portent secours à une fratrie de trois enfants mais les parents restent introuvables. Les soldats du feu doivent assurer leur permanence tout en faisant du baby-sitting."
"Miss Peregrine et les enfants particuliers FRENCH HDLight 1080p 2016";"166";"31";"2.83GB";"23/01/2020";"Films";"Fantastique";"À la mort de son grand-père, Jacob découvre les indices et l’existence d’un monde mystérieux qui le mène dans un lieu magique : la Maison de Miss Peregrine pour Enfants Particuliers. Mais le mystère et le danger s’amplifient quand il apprend à connaître les résidents, leurs étranges pouvoirs …  et leurs puissants ennemis. Finalement, Jacob découvre que seule sa propre \"particularité\" peut sauver ses nouveaux amis."
"L'Art du mensonge FRENCH DVDRIP 2020";"1754";"184";"695.37MB";"22/01/2020";"Films";"Policier,Thriller";"Escroc professionnel, Roy Courtnay a déjà en vue sa prochaine cible : Betty McLeish, récemment devenue veuve, dont la fortune s'élève à des millions de dollars. Dès la première rencontre entre Roy et Betty, l'arnaqueur commence par faire son numéro bien rodé de manipulateur et la veuve, visiblement séduite, semble facile à duper. Mais cette fois, ce qui avait l'air d'une simple arnaque prend l'allure d'un jeu du chat et de la souris aux enjeux de grande ampleur. Tandis que Roy et Betty découvrent des supercheries bien plus insidieuses, les voilà qui plongent dans un monde de dangers, de complots et de trahisons …"
"Alexandre FRENCH HDLight 1080p 2004";"263";"55";"4.43GB";"22/01/2020";"Films";"Biopic";"La vie d'Alexandre le Grand, narrée par Ptolémée : de son enfance à sa mort, des cours d'Aristote aux conquêtes qui firent sa légende, de l'intimité aux champs de bataille. Fils du roi Philippe II, il soumit la Grèce révoltée, fonda Alexandrie, défit les Perses, s'empara de Babylone et atteint l'Indus pour établir à 32 ans l'un des plus grands empires ayant jamais existé."
"Slumber FRENCH HDLight 1080p 2017";"117";"27";"2.28GB";"22/01/2020";"Films";"Epouvante-horreur";"Un médecin spécialisé dans le sommeil va tenter de protéger une famille d'un démon qui se nourrit des cauchemars."
